tipo,corte,ganancia
GBDT,15000,44.41897
GBDT,14500,44.74317
GBDT,14000,44.75157
GBDT,13500,44.99997
GBDT,13000,45.14943
GBDT,12500,45.31573
GBDT,12000,45.04201
GBDT,11500,45.37674
GBDT,11000,45.53461
GBDT,10500,45.01036
GBDT,10000,44.98508
GBDT,9500,45.40612
GBDT,9000,45.15346
GBDT,8500,44.56394
GBDT,8000,43.73021
DART_3,15000,43.34525
DART_3,14500,43.59365
DART_3,14000,43.83575
DART_3,13500,44.07573
DART_3,13000,44.23782
DART_3,12500,44.21674
DART_3,12000,44.53884
DART_3,11500,44.27354
DART_3,11000,44.25247
DART_3,10500,44.48403
DART_3,10000,43.97662
DART_3,9500,43.87976
DART_3,9000,43.37656
DART_3,8500,42.88178
DART_3,8000,42.1091
DART_2,15000,42.1431
DART_2,14500,42.71784
DART_2,14000,43.04625
DART_2,13500,43.2715
DART_2,13000,43.34516
DART_2,12500,43.51988
DART_2,12000,43.59986
DART_2,11500,43.66931
DART_2,11000,43.33454
DART_2,10500,43.3282
DART_2,10000,43.06291
DART_2,9500,42.29233
DART_2,9000,41.37439
DART_2,8500,40.76171
DART_2,8000,40.32799
DART_1,15000,44.61266
DART_1,14500,45.34319
DART_1,14000,45.18316
DART_1,13500,45.17682
DART_1,13000,44.81257
DART_1,12500,45.21046
DART_1,12000,45.45045
DART_1,11500,45.4314
DART_1,11000,45.06934
DART_1,10500,44.65456
DART_1,10000,43.72609
DART_1,9500,43.55132
DART_1,9000,43.62499
DART_1,8500,42.6902
DART_1,8000,41.75541